terrible
awful
wrong
NO!
completely
hurting
futually
stinks
hogwash
definitely
waste
off-topic
sacrifice
downvote
irrelevant
nonsense
bet
***never***
homework
no sense
Google
rant
rediculous
haha
laugh
research
mother
spoon-feed
class
duplicate
!
?????
try
lacking effort
no effort
SO
dump
silly
shame
insane
tutorial
documentation
dummy
made my day
nonsensical
assume
assignment
guess
niggah
try anything
nothing
obviously



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































